"id","url","text","createdAt","author.profilePicture","retweetCount","replyCount","likeCount","quoteCount","viewCount","bookmarkCount","source","lang","isReply","isRetweet","isQuote","isPinned"
"1541924848380682240","https://x.com/nomcih/status/1541924848380682240","𝙥𝙧𝙤𝙜𝙧𝙖𝙢 𝙠𝙖𝙢𝙥𝙪𝙨 𝙢𝙚𝙧𝙙𝙚𝙠𝙖 𝙘𝙪𝙢𝙖 𝙢𝙨𝙞𝙗 𝙖𝙟𝙖?
oh tentu tidak, ada
• Magang dan studi independen bersertifikat
• Bangkit google
• Kampus Mengajar
• Penggerak Muda
• Pertukaran Mahasiswa (ada univ lokal dan luar)
• Kmmi
• Gerilya
• Wirausaha •dsb","Tue Jun 28 23:21:46 +0000 2022","https://pbs.twimg.com/profile_images/1695409315753201665/Ht1TQDIM_normal.jpg","2","1","6","0","0","1","","in","true",,,"false"
"1541923758759284736","https://x.com/nomcih/status/1541923758759284736","[𝘼 𝙏𝙝𝙧𝙚𝙖𝙙 — 𝙎𝙝𝙖𝙧𝙞𝙣𝙜 𝙋𝙚𝙣𝙜𝙖𝙡𝙖𝙢𝙖𝙣 𝙎𝙚𝙥𝙪𝙩𝙖𝙧 𝙈𝙖𝙜𝙖𝙣𝙜 𝙙𝙖𝙣 𝙎𝙩𝙪𝙙𝙞 𝙄𝙣𝙙𝙚𝙥𝙚𝙣𝙙𝙚𝙣 𝘽𝙚𝙧𝙨𝙚𝙧𝙩𝙞𝙛𝙞𝙠𝙖𝙩 𝙆𝙖𝙢𝙥𝙪𝙨 𝙈𝙚𝙧𝙙𝙚𝙠𝙖]

#MSIB #KampusMerdeka","Tue Jun 28 23:17:26 +0000 2022","https://pbs.twimg.com/profile_images/1695409315753201665/Ht1TQDIM_normal.jpg","11","4","59","1","0","27","","in","false",,,"false"
"1541667365477556224","https://x.com/UGMYogyakarta/status/1541667365477556224","Halo Kawan UGM, inign tahu apa itu Magang dan Studi Independen Bersertifikat? Yuk Kawan UGM, kita simak penjelasan salah satu program Kampus Merdeka Merdeka Belajar ini. https://t.co/1eXdC4FF7D","Tue Jun 28 06:18:37 +0000 2022","https://pbs.twimg.com/profile_images/932874895389638656/fDT8AaGJ_normal.jpg","0","0","11","0","0","1","","in","false",,,"false"
"1541318423300698112","https://x.com/itk_official_/status/1541318423300698112","Halo sobat Specta!

Program Magang dan Studi Independen Bersertifikat (MSIB) Kampus merdeka dibuka lagi loh. Yuk segera daftar, syaratnya cukup kamu sebagai mahasiswa aktif minimal semester 5.

Berkas pendaftarannya apa aja?
1. CV
2. Transkrip Nilai https://t.co/NF0SrlszBh","Mon Jun 27 07:12:03 +0000 2022","https://pbs.twimg.com/profile_images/1981157100819558401/hHcranhh_normal.jpg","2","1","8","0","0","2","","in","false",,,"false"
"1540313980748861441","https://x.com/suaramerdeka/status/1540313980748861441","UMS Sosialisasikan Magang dan Studi Independen Bersertifikat https://t.co/Ab53FDMshI","Fri Jun 24 12:40:45 +0000 2022","https://pbs.twimg.com/profile_images/1761743131983450112/xM93w9-O_normal.jpg","0","0","0","0","0","0","","in","false",,,"false"
"1540214278028152832","https://x.com/HIMAKBMKMUnsoed/status/1540214278028152832","[MERDEKA CENTER] 

Hallo KBMKM!👋
Ada kabar gembira nih!✨ 

Kami dari divisi keilmuan hadir untuk membagikan informasi MBKM yang dibuka bulan Juni-Juli 2022. Penasaran kan programnya apa? Yuk check this out 👇 

Program Magang dan Studi Independen Bersertifikat (MSIB) angkatan https://t.co/ZFNTp87x8e","Fri Jun 24 06:04:34 +0000 2022","https://pbs.twimg.com/profile_images/979778473433509893/YwWBVBY1_normal.jpg","0","1","4","0","0","3","","in","false",,,"false"
"1539573533730172929","https://x.com/LPMTEROPONGUMSU/status/1539573533730172929","Dalam Sosialisasi dan Workshop Magang dan Studi Independen  Bersertifikat (MSIB) batch 3 Universitas Muhammadiyah Sumatera Utara (UMSU). Baca selengkapnya di https://t.co/caVY9xXi98 https://t.co/9rtn85gvaq","Wed Jun 22 11:38:28 +0000 2022","https://pbs.twimg.com/profile_images/1861988381888323584/pGo_pKNJ_normal.jpg","0","0","1","0","0","0","","in","false",,,"false"
"1539264774152032257","https://x.com/jawapos/status/1539264774152032257","Magang dan Studi Independen Bersertifikat Batch 3 2022 https://t.co/LVWDKATeYn","Tue Jun 21 15:11:34 +0000 2022","https://pbs.twimg.com/profile_images/2038545118295453696/tZwiLpI7_normal.jpg","1","0","0","0","0","0","","in","false",,,"false"
"1535536549143924736","https://x.com/HmgpPNJ_/status/1535536549143924736","[ PENDAFTARAN PROGRAM MAGANG DAN STUDI INDEPENDEN BERSERTIFIKAT ANGKATAN 3 ]

❗Untuk mahasiswa sarjana dan vokasi seluruh Indonesia

More info : 
🔗https://t.co/GFrlTcXN0Q
IG : 
kampusmerdeka.ri
magangmerdeka

Narahubung :
📱082129076957 (Putra)
📱081296858842 (Lian)

#InfoTGP https://t.co/zPa1PpQi9Z","Sat Jun 11 08:16:56 +0000 2022","https://pbs.twimg.com/profile_images/1494314408004427781/aSa21q0r_normal.jpg","0","0","1","0","0","4","","in","false",,,"false"
"1532957653785120769","https://x.com/zonamahasiswaid/status/1532957653785120769","Kemendikbudristek kembali membuka program Magang dan Studi Independen Bersertifikat (MSIB) III untuk mahasiswa. Simak jadwal lengkapnya ya.
https://t.co/gA5Dt4L0MP","Sat Jun 04 05:29:20 +0000 2022","https://pbs.twimg.com/profile_images/1387294794146144261/zo4mE-7H_normal.jpg","1","0","2","0","0","0","","in","false",,,"false"
